taxa	LA-MOC-Lung-1_S1_L001	LA-MOC-Lung-1_S1_L002	LA-MOC-Lung-2_S2_L001	LA-MOC-Lung-2_S2_L002	LA-MOC-Lung-3_S3_L001	LA-MOC-Lung-3_S3_L002	LA-MOC-Lung-4_S4_L001	LA-MOC-Lung-4_S4_L002	LA-MOC-Lung-5_S5_L001	LA-MOC-Lung-5_S5_L002	LA-MOC-Tongue-1_S16_L001	LA-MOC-Tongue-1_S16_L002	LA-MOC-Tongue-2_S17_L001	LA-MOC-Tongue-2_S17_L002	LA-MOC-Tongue-3_S18_L001	LA-MOC-Tongue-3_S18_L002	LA-MOC-Tongue-4_S19_L001	LA-MOC-Tongue-4_S19_L002	LA-MOC-Tongue-5_S20_L001	LA-MOC-Tongue-5_S20_L002	PBS-Lung-1_S6_L001	PBS-Lung-1_S6_L002	PBS-Lung-2_S7_L001	PBS-Lung-2_S7_L002	PBS-Lung-3_S8_L001	PBS-Lung-3_S8_L002	PBS-Lung-4_S9_L001	PBS-Lung-4_S9_L002	PBS-Lung-5_S10_L001	PBS-Lung-5_S10_L002	PBS-Tongue-1_S21_L001	PBS-Tongue-1_S21_L002	PBS-Tongue-2_S22_L001	PBS-Tongue-2_S22_L002	PBS-Tongue-3_S23_L001	PBS-Tongue-3_S23_L002	PBS-Tongue-4_S24_L001	PBS-Tongue-4_S24_L002	PBS-Tongue-5_S25_L001	PBS-Tongue-5_S25_L002	pm-1-24hr_S35_L001	pm-1-24hr_S35_L002	pm-2-24hr_S36_L001	pm-2-24hr_S36_L002	pm-over-s-24hr_S51_L001	pm-over-s-24hr_S51_L002	pm-over-vp-24hr_S46_L001	pm-over-vp-24hr_S46_L002	pm-split-s-24hr_S48_L001	pm-split-s-24hr_S48_L002	pm-split-vp-24hr_S43_L001	pm-split-vp-24hr_S43_L002	s-1-24hr_S31_L001	s-1-24hr_S31_L002	s-2-24hr_S32_L001	s-2-24hr_S32_L002	s-mid-over-pm-24hr_S50_L001	s-mid-over-pm-24hr_S50_L002	s-over-pm-24hr_S49_L001	s-over-pm-24hr_S49_L002	s-over-vp-24hr_S41_L001	s-over-vp-24hr_S41_L002	s-split-pm-24hr_S47_L001	s-split-pm-24hr_S47_L002	s-split-vp-24hr_S38_L001	s-split-vp-24hr_S38_L002	UA-MOC-Lung-1_S11_L001	UA-MOC-Lung-1_S11_L002	UA-MOC-Lung-2_S12_L001	UA-MOC-Lung-2_S12_L002	UA-MOC-Lung-3_S13_L001	UA-MOC-Lung-3_S13_L002	UA-MOC-Lung-4_S14_L001	UA-MOC-Lung-4_S14_L002	UA-MOC-Lung-5_S15_L001	UA-MOC-Lung-5_S15_L002	UA-MOC-Tongue-1_S26_L001	UA-MOC-Tongue-1_S26_L002	UA-MOC-Tongue-2_S27_L001	UA-MOC-Tongue-2_S27_L002	UA-MOC-Tongue-3_S28_L001	UA-MOC-Tongue-3_S28_L002	UA-MOC-Tongue-4_S29_L001	UA-MOC-Tongue-4_S29_L002	UA-MOC-Tongue-5_S30_L001	UA-MOC-Tongue-5_S30_L002	vp-1-24hr_S33_L001	vp-1-24hr_S33_L002	vp-2-24hr_S34_L001	vp-2-24hr_S34_L002	vp-mid-over-pm-24hr_S45_L001	vp-mid-over-pm-24hr_S45_L002	vp-mid-over-s-24hr_S40_L001	vp-mid-over-s-24hr_S40_L002	vp-over-pm-24hr_S44_L001	vp-over-pm-24hr_S44_L002	vp-over-s-24hr_S39_L001	vp-over-s-24hr_S39_L002	vp-split-pm-24hr_S42_L001	vp-split-pm-24hr_S42_L002	vp-split-s-24hr_S37_L001	vp-split-s-24hr_S37_L002
Globisporangium irregulare	23	36	9	3	21	20	35	36	38	30	20	18	29	39	21	26	24	30	23	29	17	18	22	27	14	16	98	100	84	90	49	41	43	43	13	11	12	12	44	39	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	67	52	56	33	36	43	37	34	34	40	42	35	28	53	47	20	18	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus sp. JZ16	1	2	0	0	0	0	0	0	2	4	1	0	1	3	0	2	3	1	0	1	0	0	2	1	0	0	4	3	1	5	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	4	5	1	1	1	4	1	1	3	1	2	1	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidisarcina polymorpha	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	4	5	0	1	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	8	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycolicibacterium parafortuitum	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium sp. I3-2	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ateline gammaherpesvirus 3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intrasporangium calvum	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micromonospora sp. B006	3	1	0	0	0	0	0	0	0	2	1	1	1	1	3	0	2	2	0	1	0	0	1	1	0	1	1	1	3	0	0	1	3	1	1	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	2	1	1	0	1	2	4	2	6	3	1	2	1	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Saccharomonospora cyanea	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	3	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	1	1	0	1	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gloeobacter violaceus	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kitasatospora albolonga	1	2	0	0	0	0	0	0	1	1	2	3	0	4	3	3	1	0	0	5	0	2	2	1	0	0	4	5	4	3	5	2	2	6	2	1	0	0	5	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	1	2	2	0	0	0	1	3	3	0	0	2	3	1	5	2	0	4	7	5	3	2	2	3	0	2	2	0	0	0	1	0	0	3	0	2	0	6	3	1	0	0	0
Aphanomyces invadans	331	358	96	78	338	345	248	254	354	418	487	429	846	897	556	571	787	818	621	638	261	213	308	347	270	252	848	842	754	750	694	669	703	752	357	343	347	332	661	615	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	603	585	604	404	384	474	475	358	354	1049	1102	594	592	670	684	492	521	415	406	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces antimycoticus	1	2	0	3	0	2	0	1	0	2	2	1	2	9	6	3	0	3	2	5	2	1	1	1	1	3	5	5	4	2	0	7	6	6	1	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	4	1	7	0	8	4	1	2	8	7	3	5	1	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardia sp. DSM 110487	2	0	0	0	5	9	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	4	2	1	0	1	0	0	3	5	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	2	0	12	0	11	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amycolatopsis sp. DSM 110486	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	4	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	3	0	1	1	2	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coccidioides posadasii	4	2	1	1	6	11	4	1	14	11	6	9	6	7	7	8	8	10	14	7	3	1	4	7	3	5	9	3	9	10	8	11	15	6	6	7	1	5	1	1	2	0	1	0	0	0	3	0	0	0	3	0	1	3	7	6	0	1	0	0	7	0	1	1	0	5	3	6	3	6	2	6	4	8	2	2	10	11	2	7	11	3	3	12	3	3	0	0	1	7	2	0	0	2	0	0	9	6	2	0	1	0
Emergencia timonensis	1	2	1	0	0	0	0	2	1	5	1	0	0	2	1	2	1	1	1	2	1	0	1	0	0	2	10	8	26	8	1	3	3	0	1	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	5	3	5	8	4	0	4	9	1	2	0	4	1	1	3	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas naejangsanensis	2	3	0	0	3	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	4	1	1	3	1	9	7	1	1	0	5	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	3	0	2	0	2	2	1	2	0	0	4	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces violaceusniger	2	3	2	0	0	4	5	4	5	9	9	2	10	15	9	8	10	14	5	4	8	0	4	6	5	7	28	32	16	27	11	9	35	41	7	1	4	8	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	13	10	2	6	12	10	6	18	22	7	5	10	11	10	6	13	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. HLS-6	1	3	1	0	0	0	0	2	2	1	9	4	19	24	22	13	12	9	12	9	3	2	3	5	0	2	8	8	2	1	8	10	28	29	10	2	5	4	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	3	0	1	2	2	17	12	7	7	22	16	6	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Erwinia haradaeae	1	1	0	0	0	0	0	0	0	0	1	3	4	5	1	2	0	2	0	1	0	0	0	0	0	0	1	4	0	2	1	2	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3	1	0	1	2	0	4	5	3	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter sp. FB24	1	0	0	3	0	0	0	0	3	1	14	0	3	0	2	0	13	28	25	18	2	0	1	0	1	2	0	2	1	2	9	6	27	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	2	1	0	1	0	7	1	0	0	8	5	12	11	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Mannheimia] succiniciproducens	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sclerotinia sclerotiorum	6	5	3	1	7	1	2	1	4	4	8	13	27	12	6	11	18	19	19	16	2	4	3	7	2	1	15	16	12	15	13	7	20	24	3	10	5	9	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	11	7	9	4	6	9	8	19	21	11	4	13	9	19	15	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. 113-3-3	1	8	0	0	10	6	5	1	7	10	3	2	4	2	5	1	4	6	4	2	9	7	7	9	4	7	17	12	10	11	6	3	11	6	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	9	14	1	3	16	7	3	2	10	12	1	5	6	5	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. 113-1-2	1	9	1	0	1	2	1	2	4	8	2	1	1	3	0	2	3	1	1	3	4	0	0	0	2	0	0	1	1	2	2	1	1	4	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	1	1	2	1	0	1	0	1	5	2	0	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces armeniacus	6	11	0	0	2875	3033	8	4	4	2	3	2	7	5	2	2	3	4	1	6	5	4	8	5	3	1	7	14	11	14	12	7	1	6	2	2	0	7	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	1	2	1	9	2	8	9	4	10	1	7	3	8	0	2	6	2	2	0	2	2	2	1	0	0	0	1	0	0	1	0	0	0	2	2	3	1	0	0
Enterobacter cloacae	2	1	0	0	0	0	1	2	18	0	36	0	1	0	0	1	0	1	3	0	0	1	0	0	0	0	3	0	0	0	1	0	0	1	1	3	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	1	2	0	3	3	3	0	0	7	2	0	1	11	0	1	1	0	1	0	0	1	1	2	2	2	0	0	3	1	1	0	0	0	0	0	0	1	1	0	0	0	23	0	0	0	0
Phytopythium vexans	29	45	7	10	16	16	39	38	65	37	61	59	109	128	63	78	90	116	92	83	25	22	34	51	24	26	104	111	97	99	81	69	130	144	45	42	54	45	91	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	58	61	49	36	30	41	57	52	56	147	160	73	59	97	99	65	43	60	45	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitrella brassicaformis	45	43	12	7	40	34	31	58	50	60	43	25	62	60	45	35	38	56	53	60	21	24	41	51	26	27	135	170	103	111	58	71	65	95	38	34	40	23	54	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	92	80	90	50	57	75	79	47	54	85	110	49	56	60	64	27	36	44	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frankia inefficax	1	1	0	0	0	1	0	0	0	1	1	0	0	2	0	2	0	0	1	0	0	1	1	0	0	0	3	1	2	2	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	0	3	3	4	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus clavatus	16	27	0	5	14	8	4	9	11	15	9	16	46	37	21	19	31	32	21	20	8	11	10	14	7	8	36	42	30	49	30	22	43	40	14	22	19	11	24	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	28	27	24	20	16	25	39	23	15	46	45	32	35	32	31	29	24	17	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Brevibacterium sp. SMBL_HHYL_HB1	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromyxobacter sp. Red630	1	1	0	0	2	0	2	0	0	0	0	0	1	2	2	0	0	0	0	1	3	0	2	1	0	1	1	0	2	3	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	1	2	3	1	4	2	3	2	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromyxobacter sp. Red232	132	87	44	46	173	171	187	184	359	345	533	471	361	434	419	352	279	307	319	340	135	140	244	206	222	194	199	215	294	318	439	452	435	453	298	285	355	358	72	87	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	265	216	297	242	182	198	193	185	165	192	293	311	342	344	536	575	278	337	250	243	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Streptomyces sp. Z423-1	7	2	0	1	6	4	1	11	9	7	20	10	14	15	14	11	9	7	2	3	1	1	4	6	1	4	10	7	22	20	7	3	9	11	3	3	4	2	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	10	7	1	11	5	12	5	4	15	15	10	8	17	13	17	8	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aequorivita sp. H23M31	1	1	0	0	1	0	3	1	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	1	2	7	10	8	7	6	2	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	2	1	5	3	2	2	1	1	0	0	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megamonas funiformis	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	3	0	0	3	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	2	0	0	1	1	0	1	1	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Paenibacillus sp. 19GGS1-52	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium lividum	1	14	0	6	1	8	5	4	4	17	16	21	19	16	7	13	20	14	12	10	3	3	8	7	9	1	11	15	21	10	17	9	23	14	7	4	3	10	16	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	16	11	6	7	19	12	6	13	18	27	13	6	14	16	12	12	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natrinema sp. SYSU A 869	2	1	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	1	1	3	2	1	0	0	1	2	2	0	3	1	0	2	0	2	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	1	1	0	1	1	1	1	1	1	2	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea oxalativorans	1	0	0	0	0	1	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	1	0	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus aureus	229133	229457	69892	70316	229819	231490	330343	333098	499690	501536	686351	684875	653252	654991	498670	500868	400458	400773	374717	372095	193458	192102	275558	277894	252881	252503	445221	447426	602710	605048	529014	530540	541148	542416	318849	320261	341990	344743	286183	286906	8826	8872	8730	8612	139	152	362	252	145	167	35	56	1271	1237	1327	1202	245	262	356	371	1273	1301	511	511	674	651	446334	446200	414644	413400	289018	290639	326918	326500	243508	243142	452512	451349	447248	448279	638745	643435	385799	385420	261962	263289	2004	2054	3487	2980	292	270	889	852	110	90	90198	91108	251	250	430	331
Breznakiella homolactica	1	0	0	0	0	1	0	0	2	1	0	1	10	6	0	5	6	7	2	1	0	1	2	0	0	0	0	6	3	0	1	6	4	11	1	1	3	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1	0	1	1	3	3	2	3	4	2	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Staphylococcus epidermidis	4	5	0	1	0	3	0	1	1	0	2	0	1	2	0	0	0	2	2	1	5	0	0	2	1	0	1	1	3	1	2	0	0	0	0	1	1	0	1	3	1	0	0	1	0	0	1	0	0	3	1	0	3	5	5	10	5	1	1	2	11	15	3	1	7	9	3	7	3	4	1	1	2	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	14	10	1	0	11	4	0	0	3	5	0	0	2	0
Parageobacillus sp. KH3-4	9	7	1	7	16	7	11	5	18	19	4	9	12	14	6	15	12	11	8	10	22	19	27	21	20	15	57	81	84	60	18	12	29	15	3	7	6	9	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	56	57	48	17	12	39	36	36	24	23	17	10	3	13	15	3	12	8	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter haemolyticus	1	2	0	0	3	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	2	1	0	2	4	4	1	1	0	0	0	0	0	13269	13327	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	2	0	4	2	0	2	1	0	11	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	32	0	0	10	7
Lactobacillus acidophilus	1	0	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	2	1	270	6	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	8	9	0	0	0	31	25	51	47	32	10	72	34	54	72	7	0	38	68	1	6	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	4	0	0	0	3	14	8	3	6	62	48	3	3	0	2	5	2	0	13
Dyella thiooxydans	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amycolatopsis sp. BJA-103	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	3	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defluviicoccus vanus	1	1	0	0	0	0	0	0	0	2	2	0	2	2	1	2	4	0	1	1	0	0	1	1	0	0	0	4	1	3	0	0	4	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	0	2	0	1	1	1	0	2	2	1	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio campbellii	3	3	0	0	0	1	1	2	1	2	0	0	1	0	1	2	0	0	1	1	0	1	1	0	0	0	8	11	1	6	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	2	0	2	3	1	1	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Leifsonia xyli	1	0	0	2	2	2	4	3	0	6	43	41	121	102	49	66	46	28	52	47	1	0	0	4	3	2	3	5	6	4	29	47	63	48	25	18	17	23	98	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	5	4	2	7	3	0	37	41	59	49	58	61	28	24	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micromonospora sp. WMMC415	3	0	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	0	4	4	0	1	0	0	1	0	3	5	3	1	1	0	0	0	1	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	2	0	6	1	0	3	2	0	2	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonlabens sp. SY33080	11	6	2	4	6	1	9	6	7	8	1	0	5	5	0	2	4	3	3	4	4	4	5	3	5	4	25	13	13	14	4	4	2	5	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	9	20	7	15	10	10	9	10	3	6	2	3	0	3	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
