"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00220..Arginine.biosynthesis","map00220..Arginine.biosynthesis","2181"," 474","1673","1640","2582","1181","1921","1507","5532","4755","3442","4148","2221","2856","2202"
"map00230..Purine.metabolism","map00230..Purine.metabolism"," 7646"," 1800"," 5107"," 5951"," 8437"," 4166"," 6585"," 5130","19338","15454","11301","12340"," 8708","10037"," 7428"
"map00232..Caffeine.metabolism","map00232..Caffeine.metabolism","1455"," 351"," 974","1203","1809"," 613"," 966"," 664","3100","2216","1819","1785","1410","1835","1290"
"map00240..Pyrimidine.metabolism","map00240..Pyrimidine.metabolism","2777"," 641","1560","2003","2847","1277","2124","1642","6083","5106","3656","4092","3368","2971","2249"
"map00250..Alanine..aspartate.and.glutamate.metabolism","map00250..Alanine..aspartate.and.glutamate.metabolism","3265"," 767","2545","2422","3806","1843","2952","2303","8881","7420","5336","6208","3443","4284","3307"
"map00253..Tetracycline.biosynthesis","map00253..Tetracycline.biosynthesis","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"map00254..Aflatoxin.biosynthesis","map00254..Aflatoxin.biosynthesis","254"," 53","208","162","274","161","225","195","784","536","526","501","273","384","322"
"map00260..Glycine..serine.and.threonine.metabolism","map00260..Glycine..serine.and.threonine.metabolism","2884"," 679","2228","2075","2806","1885","2585","2121","6711","5799","4907","5567","2571","3461","2540"
"map00261..Monobactam.biosynthesis","map00261..Monobactam.biosynthesis","31"," 6","23","20","28","20","28","25","72","65","55","70","18","57","37"
"map00270..Cysteine.and.methionine.metabolism","map00270..Cysteine.and.methionine.metabolism"," 3471","  974"," 2470"," 2630"," 4543"," 1924"," 3076"," 2685","10332"," 7570"," 5435"," 5710"," 3811"," 4065"," 3265"
"map00280..Valine..leucine.and.isoleucine.degradation","map00280..Valine..leucine.and.isoleucine.degradation"," 9218"," 2526"," 8527"," 6914","11857"," 7577","11460"," 9136","30595","27338","19632","22507"," 9835","17369","12846"
"map00281..Geraniol.degradation","map00281..Geraniol.degradation"," 871"," 302"," 949"," 734","1042"," 643","1064"," 858","2466","2168","1748","1718","1094","1355"," 991"
"map00290..Valine..leucine.and.isoleucine.biosynthesis","map00290..Valine..leucine.and.isoleucine.biosynthesis"," 67"," 13"," 57"," 54"," 65"," 41"," 73"," 46","179","134","117","122"," 74"," 93"," 58"
"map00300..Lysine.biosynthesis","map00300..Lysine.biosynthesis"," 89"," 30"," 53"," 63","112"," 66"," 71"," 81","214","195","137","124"," 96","124","106"
"map00310..Lysine.degradation","map00310..Lysine.degradation"," 5838"," 1650"," 5871"," 4361"," 8205"," 5306"," 8018"," 6401","21673","19640","13336","15970"," 6372","12523"," 9072"
"map00311..Penicillin.and.cephalosporin.biosynthesis","map00311..Penicillin.and.cephalosporin.biosynthesis","2","1","6","0","0","1","5","0","1","3","1","1","1","2","2"
"map00330..Arginine.and.proline.metabolism","map00330..Arginine.and.proline.metabolism"," 6309"," 1698"," 5769"," 4650"," 8575"," 5296"," 8087"," 6494","22229","20172","13514","16221"," 6786","12551"," 9144"
"map00332..Carbapenem.biosynthesis","map00332..Carbapenem.biosynthesis","36"," 4","13","15","31","15","24","21","82","66","31","40","61","22","13"
"map00333..Prodigiosin.biosynthesis","map00333..Prodigiosin.biosynthesis","222"," 57","226","193","312","205","338","234","751","784","545","720","254","675","410"
"map00340..Histidine.metabolism","map00340..Histidine.metabolism"," 5234"," 1459"," 5159"," 3731"," 7606"," 4985"," 7426"," 5779","20561","18584","12336","15141"," 5347","11818"," 8606"
"map00350..Tyrosine.metabolism","map00350..Tyrosine.metabolism","2174"," 607","2158","1532","2487","1551","2338","1849","6591","5756","4332","4823","2271","3570","2773"
"map00360..Phenylalanine.metabolism","map00360..Phenylalanine.metabolism","2104"," 588","1985","1533","2565","1575","2284","1981","6412","5661","4182","4737","2037","3531","2663"
"map00361..Chlorocyclohexane.and.chlorobenzene.degradation","map00361..Chlorocyclohexane.and.chlorobenzene.degradation","3","1","4","2","0","4","4","4","7","8","8","6","3","7","8"
"map00362..Benzoate.degradation","map00362..Benzoate.degradation","1376"," 420","1441","1119","1634","1013","1546","1294","3886","3531","2685","2823","1517","2149","1582"
"map00364..Fluorobenzoate.degradation","map00364..Fluorobenzoate.degradation","3","0","0","0","1","2","1","2","2","5","5","2","1","5","4"
"map00365..Furfural.degradation","map00365..Furfural.degradation","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"map00380..Tryptophan.metabolism","map00380..Tryptophan.metabolism"," 6998"," 1989"," 6751"," 5161"," 9832"," 6271"," 9339"," 7375","25235","22191","15538","18337"," 7191","14205","10298"
"map00400..Phenylalanine..tyrosine.and.tryptophan.biosynthesis","map00400..Phenylalanine..tyrosine.and.tryptophan.biosynthesis","352"," 73","277","270","296","170","260","317","795","677","511","578","444","413","311"
"map00401..Novobiocin.biosynthesis","map00401..Novobiocin.biosynthesis","16"," 1","17"," 8","20"," 8","20","12","56","20","22","37","19","23","10"
"map00404..Staurosporine.biosynthesis","map00404..Staurosporine.biosynthesis","0","0","0","0","0","1","0","0","0","2","0","1","0","0","0"
"map00405..Phenazine.biosynthesis","map00405..Phenazine.biosynthesis","3","0","1","2","1","0","0","1","6","3","0","3","1","0","0"
"map00410..beta.Alanine.metabolism","map00410..beta.Alanine.metabolism"," 6153"," 1793"," 6178"," 4492"," 8787"," 5911"," 8839"," 6807","24135","21926","14862","17865"," 6577","13850","10137"
"map00430..Taurine.and.hypotaurine.metabolism","map00430..Taurine.and.hypotaurine.metabolism"," 52"," 24"," 44"," 41"," 74"," 51"," 58"," 41","147","143"," 89","102"," 66"," 72"," 51"
"map00440..Phosphonate.and.phosphinate.metabolism","map00440..Phosphonate.and.phosphinate.metabolism","170"," 34"," 58","112","171"," 83","178","109","405","320","242","302","157","239","168"
"map00450..Selenocompound.metabolism","map00450..Selenocompound.metabolism"," 410","  89"," 211"," 301"," 386"," 217"," 341"," 259","1052"," 970"," 683"," 771"," 435"," 530"," 408"
"map00460..Cyanoamino.acid.metabolism","map00460..Cyanoamino.acid.metabolism","120"," 31","123","118","136"," 57"," 90","103","306","309","223","212","207","166","119"
