"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00983..Drug.metabolism...other.enzymes","3418"," 877","2422","2719","3926","1947","3155","2354","8791","7322","5122","5484","4050","4987","3411"
"map00984..Steroid.degradation"," 8"," 1"," 4"," 7"," 7"," 1"," 4"," 6"," 7","15","12"," 5"," 3"," 6"," 6"
"map00997..Biosynthesis.of.various.secondary.metabolites...part.3","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0"
"map00998..Biosynthesis.of.various.secondary.metabolites...part.2"," 62"," 12"," 31"," 39"," 63"," 42"," 78"," 58","211","175","126","190"," 39","159","110"
"map00999..Biosynthesis.of.various.secondary.metabolites...part.1","17"," 5","10","14","13","19","22","17","54","47","46","39","15","26","32"
"map01040..Biosynthesis.of.unsaturated.fatty.acids","1248"," 312"," 866"," 869","1286"," 799","1362","1034","3176","2923","2239","2254","1379","1789","1399"
"map01051..Biosynthesis.of.ansamycins","341"," 76","249","263","330","212","241","203","877","553","442","471","404","345","258"
"map01052..Type.I.polyketide.structures"," 6"," 3"," 4"," 5"," 7"," 9","13"," 5","29","28","24","16"," 8","10","14"
"map01053..Biosynthesis.of.siderophore.group.nonribosomal.peptides","4","0","1","0","4","2","2","0","3","4","8","3","3","4","2"
"map01054..Nonribosomal.peptide.structures"," 58"," 10"," 31"," 21"," 56"," 42"," 49"," 49","147","118"," 96"," 95"," 36"," 44"," 52"
"map01055..Biosynthesis.of.vancomycin.group.antibiotics"," 8"," 2"," 8","12","12"," 6","12","10","34","28","20","23","27","18","14"
"map01056..Biosynthesis.of.type.II.polyketide.backbone","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"map01057..Biosynthesis.of.type.II.polyketide.products","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"map01059..Biosynthesis.of.enediyne.antibiotics"," 46"," 17"," 50"," 26"," 85"," 73"," 79"," 69","204","217","150","166"," 35","124"," 98"
"map01200..Carbon.metabolism","26055"," 6697","19506","18741","26228","15198","22432","19325","62984","51379","39310","42115","29985","30942","23921"
"map01210..2.Oxocarboxylic.acid.metabolism","3988","1004","2694","2711","3815","2394","3607","3267","9741","8211","6219","6629","4450","4996","3851"
"map01212..Fatty.acid.metabolism"," 4327"," 1189"," 3679"," 3294"," 4795"," 3002"," 4669"," 3831","11720","10312"," 8174"," 8473"," 4839"," 6579"," 5055"
"map01220..Degradation.of.aromatic.compounds","1329"," 391","1325"," 971","1526"," 932","1489","1109","4067","3586","2679","2893","1548","2350","1683"
"map01230..Biosynthesis.of.amino.acids","15906"," 3923","11751","11606","15384"," 8467","12640","11298","36538","30149","22562","23923","18910","17759","13651"
